Año,PIB_nominal
1993,1651777.889
1994,1868526.36
1995,2440392.366
1996,3284161.831
1997,4144914.169
1998,5092988.047
1999,6034995.116
2000,7016603.942
2001,7437107.66
2002,7827757.973
2003,8259533.149
2004,9248389.798
2005,9999598.96
2006,11120115.769
2007,12046753.155
2008,12927761.287
2009,12749117.922
2010,13968149.523
2011,15268436.667
2012,16529124.028
2013,16954005.681
2014,18137650.609
2015,19228614.671
2016,20758790.505
2017,22536210.256
2018,24176670.374
2019,25143108.305
2020,24081765.847
2021,26619085.988
2022,29452832.078
2023,31768334.825
